update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
1,1024,69,69,0,0.6231884057971014,0.37681159420289856,-0.11494335937499998,0.31571786974867183,18.30707573890686,3.6746750275293985,9.432508905728659,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.5,0.75,1
2,1024,79,79,0,0.6582278481012658,0.34177215189873417,-0.1975048828125,-0.15916018870969614,15.77512232462565,3.568666676680247,7.692714254061381,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.8,0.75,2
3,1024,72,72,0,0.5694444444444444,0.4305555555555556,-0.14720214843749999,-0.18182930257171392,14.584319512049357,3.534421722094218,7.074986179669698,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,3
4,1024,76,76,0,0.5,0.5,-0.09963183593749998,-0.2092346859474977,15.71170457204183,3.6671701669692993,7.609945893287659,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.45,0.75,4
5,1024,77,77,0,0.5974025974025974,0.4025974025974026,-0.180384765625,-0.31244804089268047,14.658223787943522,3.60448424021403,6.980618953704834,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.6,0.75,5
6,1024,80,80,0,0.575,0.425,-0.1704091796875,-0.207847544302543,14.678486665089926,3.649785101413727,7.094897945721944,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,6
7,1024,71,71,0,0.5774647887323944,0.4225352112676056,-0.1622294921875,-0.3173322876294454,14.78056271870931,3.5820660392443338,7.037128448486328,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.65,0.75,7
8,1024,74,74,0,0.5405405405405406,0.4594594594594595,-0.21917089843749998,-0.21218373688558737,14.310322999954224,3.483209232489268,6.908145745595296,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.5,0.75,8
9,1024,71,71,0,0.5352112676056338,0.4647887323943662,-0.0887041015625,-0.2631946434266865,14.878221035003662,3.442397157351176,7.141491889953613,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.55,0.75,9
10,1024,80,80,0,0.525,0.475,-0.05125292968749999,-0.2018864161024491,16.378333409627277,3.3121328552563987,7.954158862431844,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,1,1_Fighter_level_1_vs_1_Goblin,20,0.35,0.75,10
11,1024,49,49,0,0.5918367346938775,0.40816326530612246,-0.1068203125,-0.14892587962094694,10.786857187747955,3.371103197336197,5.21079158782959,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,13,0.5384615384615384,0.75,1
12,1024,6,5,1,0.0,1.0,0.021716796875000003,-0.09695980433995526,1.425091375907262,3.77893074353536,0.5777965659896532,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,19,0.3684210526315789,0.75,2
13,1024,3,3,0,0.0,1.0,-0.02280859375,0.263069777439038,0.7776692981521288,3.3280248244603476,0.6186241830388705,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.35,0.75,3
14,1024,0,0,0,0.0,0.0,-0.04414453125,-0.5881079658865929,0.21282324753701687,2.597781866788864,-0.5076741613447666,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.35,0.75,4
15,1024,11,1,10,0.0,1.0,-0.0404384765625,-0.2664111542205016,0.6446961934367815,2.4740575154622397,0.03119636808211605,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,5
16,1024,6,2,4,0.0,1.0,-0.023556640625,-0.4157305260499318,0.8993820908168951,3.45111350218455,-0.0005506134281555811,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,6
17,1024,2,0,2,0.0,0.0,-0.0281357421875,-0.7211916347344717,0.19030743961532912,3.4191264311472573,-0.6602291812499365,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,7
18,1024,1,1,0,0.0,1.0,-0.036842773437500004,-0.39378514513373375,0.5091316290199757,2.629434198141098,-0.1655136737972498,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,8
19,1024,8,0,8,0.0,0.0,-0.0516640625,-0.9627871662378311,0.1322586303576827,2.3839330673217773,-0.9204971864819527,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,9
20,1024,8,2,6,0.0,1.0,-0.0096748046875,-0.4116041933496793,0.6166107033689817,2.8902416129906974,-0.13220125514393052,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,10
21,1024,6,5,1,0.0,1.0,0.0042509765625,-0.12522900469290713,1.084408514201641,3.0295033057530723,0.3866802218059699,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,11
22,1024,1,0,1,0.0,0.0,-0.03571484375,-0.5055783875286579,0.1148018823005259,2.332774430513382,-0.47150518372654915,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,12
23,1024,6,1,5,0.0,1.0,-0.0427861328125,-0.7108482718467712,0.4102197736501694,1.8346330225467682,-0.5240846946835518,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,13
24,1024,6,2,4,0.5,0.5,-0.041994140625,-0.5056273117661476,1.3258326202630997,2.20381361246109,0.1352508633863181,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,14
25,1024,7,1,6,0.0,1.0,-0.0217421875,-0.6226570059855779,0.40385770580420893,2.758043905099233,-0.44830859700838727,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,15
26,1024,2,2,0,0.0,1.0,-0.022352539062500003,-0.3307264428585768,0.5923910550773144,1.861011728644371,-0.05314103211276233,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,16
27,1024,5,0,5,0.0,0.0,-0.042072265625,-0.4964402876794338,0.26654084026813507,1.7091663479804993,-0.38026153296232224,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,17
28,1024,5,0,5,0.0,0.0,-0.042046875,-0.857745036482811,0.20505482889711857,1.9746237993240356,-0.7749638631939888,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,18
29,1024,7,2,5,0.5,0.5,-0.0149423828125,-0.5475461433331171,1.4148594128588836,2.3925502002239227,0.13595806124309698,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,19
30,1024,3,2,1,0.0,1.0,-0.0216923828125,-0.21472057700157166,0.7892665043473244,1.9281424134969711,0.1606312496587634,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,20
31,1024,6,1,5,0.0,1.0,-0.039560546875,-0.3318541906774044,0.7572803050279617,1.7459041476249695,0.029326920863240957,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,21
32,1024,6,1,5,0.0,1.0,-0.0289521484375,-0.3832817077636719,0.2901975214481354,1.9140656143426895,-0.25732359662652016,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.05,0.75,22
33,1024,5,2,3,0.0,1.0,-0.024337890625,-0.5039736131827036,0.561523595203956,2.082113136847814,-0.24403294424215952,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,23
34,1024,4,1,3,0.0,1.0,-0.028982421875,-0.4472492386897405,0.7079601213335991,1.7519306043783824,-0.11078848193089168,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,24
35,1024,6,2,4,0.0,1.0,-0.029078125,-0.31627701595425606,0.3288704150666793,1.7403563658396404,-0.16924536662797132,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,25
36,1024,6,1,5,0.0,1.0,-0.0309287109375,-0.606551801164945,0.27226948613921803,1.7835745612780254,-0.48825281113386154,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,26
37,1024,3,0,3,0.0,0.0,-0.0293310546875,-0.7003980254133543,0.16877202627559504,2.0900035401185355,-0.6369120652476946,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,27
38,1024,2,0,2,0.0,0.0,-0.042404296875000004,-1.1291891783475876,0.10908981692045927,1.471978634595871,-1.08936408162117,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,28
39,1024,7,2,5,0.0,1.0,-0.025324218750000002,-0.42055974528193474,0.4535777159035206,1.323353722691536,-0.20700442418456078,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_ppo_actor_critic.pt,2,Level_1_Fighter_+_Cleric_vs_2_Goblins,20,0.0,0.75,29
