update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
5,1024,36,36,0,0.9166666666666666,0.08333333333333333,0.262869140625,281,0,281,0,0.5803622057040533,6.29877241452535,2.558371990919113,3.704164683818817,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,4,Cleric_fundamentals,class,Cleric,30,0.9333333333333333,0.65,5
10,1024,64,64,0,1.0,0.0,0.50504296875,267,0,267,0,1.1072305639584858,5.406295637289683,2.7837774952252707,3.7825406193733215,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,4,Cleric_fundamentals,class,Cleric,30,1.0,0.65,10
15,1024,53,53,0,0.9622641509433962,0.03773584905660377,0.426048828125,240,0,240,0,0.9954502433538437,5.417293131351471,2.525563418865204,3.6788411736488342,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,4,Cleric_fundamentals,class,Cleric,30,0.9333333333333333,0.65,15
20,1024,66,66,0,1.0,0.0,0.523671875,237,0,237,0,1.040371522307396,3.0652349293231964,2.2079057097434998,2.5509099066257477,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,5,Cleric_resources,class,Cleric,30,1.0,0.65,5
25,1024,68,68,0,1.0,0.0,0.5405419921875,250,0,250,0,1.1627081334590912,1.9834702014923096,2.7310087382793427,2.1271331012248993,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,5,Cleric_resources,class,Cleric,30,1.0,0.65,10
30,1024,61,61,0,1.0,0.0,0.442373046875,248,0,248,0,0.8845337852835655,5.220821529626846,2.982693672180176,3.4651176035404205,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,5,Cleric_resources,class,Cleric,30,1.0,0.65,15
35,1024,37,37,0,1.0,0.0,0.32540625,236,25,211,0,0.5185594707727432,3.003702014684677,2.9408338963985443,1.9910020977258682,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,6,Cleric_Life_support,class,Cleric,30,1.0,0.65,5
40,1024,37,35,2,0.9142857142857143,0.08571428571428572,0.2769638671875,230,58,172,0,0.48357541859149933,4.123206228017807,2.6154131293296814,2.519024431705475,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,6,Cleric_Life_support,class,Cleric,30,0.9,0.65,10
45,1024,34,33,1,0.8787878787878788,0.12121212121212122,0.2337529296875,258,73,185,0,0.39395541325211525,11.320158700148264,2.5051482121149697,6.028983165820439,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,6,Cleric_Life_support,class,Cleric,30,0.9,0.65,15
5,1024,98,98,0,0.9591836734693877,0.04081632653061224,-0.0668447265625,263,0,0,263,-0.23157039750367403,11.80783212184906,2.899764508008957,5.643348157405853,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v3.pt,7,Wizard_fundamentals,class,Wizard,30,0.6333333333333333,0.65,5
