update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
85,1024,12,10,2,0.6,0.4,0.055843750000000004,706,311,395,0,0.18983474870522818,1.6286122302214305,0.19689936687548956,1.002171869079272,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.4,0.7,23
90,1024,7,6,1,0.3333333333333333,0.6666666666666666,0.009418945312500001,729,326,403,0,0.09911878042233487,1.9453131059805553,0.21584860235452652,1.0696168392896652,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,28
95,1024,8,6,2,0.3333333333333333,0.6666666666666666,0.0352158203125,704,356,348,0,0.1543207640449206,1.2800662517547607,0.2686137817800045,0.7916677494843801,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.2,0.7,33
100,1024,8,6,2,0.3333333333333333,0.6666666666666666,0.025294921875,721,344,377,0,0.09729199173549812,1.6409192383289337,0.3303547451893489,0.9144480725129446,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.16666666666666666,0.7,38
105,1024,13,9,4,0.4444444444444444,0.5555555555555556,0.0347216796875,681,309,372,0,0.09554784403493007,2.8201942443847656,0.37043855090936023,1.5019405831893284,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,43
110,1024,4,3,1,0.3333333333333333,0.6666666666666666,-1.1718749999998675e-05,734,351,383,0,0.23614607751369476,0.7479952176411947,0.3570356493194898,0.6065733432769775,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,48
115,1024,5,3,2,0.3333333333333333,0.6666666666666666,-0.0023876953124999985,742,375,367,0,0.09602179906020562,0.9748604595661163,0.31189217666784924,0.5803331111868223,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.26666666666666666,0.7,53
120,1024,7,4,3,0.5,0.5,0.014451171875,697,385,312,0,0.123518622169892,0.9749131252368292,0.2322712391614914,0.6086524873971939,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.3,0.7,58
125,1024,7,6,1,0.5,0.5,0.0257802734375,702,306,396,0,0.06926648784428835,0.8865170727173487,0.1738763302564621,0.5107862502336502,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.4,0.7,63
130,1024,9,7,2,0.5714285714285714,0.42857142857142855,0.008624023437500001,691,398,293,0,0.12151853088289499,1.4801042675971985,0.1703607141971588,0.8598670611778895,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum.pt,5,Cleric_resources,class,Cleric,30,0.36666666666666664,0.7,68
