update,rollout_steps,episodes_finished,completed,timeouts,trained_win_rate,opponent_win_rate,average_step_reward,trainable_samples,fighter_samples,cleric_samples,wizard_samples,policy_loss,value_loss,entropy,loss,checkpoint,curriculum_level,curriculum_stage,curriculum_kind,training_classes,curriculum_window_size,curriculum_window_win_rate,curriculum_threshold,curriculum_updates_on_level
85,1024,9,8,1,0.375,0.625,0.004035156250000001,128,10,118,0,-0.12197455950081348,1.4268654882907867,1.5453071296215057,0.5760051012039185,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.36666666666666664,0.65,55
90,1024,9,9,0,0.5555555555555556,0.4444444444444444,0.009320312500000004,126,7,119,0,0.2349967397749424,1.1843234598636627,1.548204630613327,0.811676412820816,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.43333333333333335,0.65,60
95,1024,7,6,1,0.6666666666666666,0.3333333333333333,0.016878906250000002,134,0,134,0,0.0884061586111784,1.135046273469925,1.3151498436927795,0.6427778005599976,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,6,Cleric_Life_support,class,Cleric,30,0.5333333333333333,0.65,65
100,1024,70,70,0,0.9571428571428572,0.04285714285714286,-0.19605078125,189,0,0,189,-0.3894526958465576,11.860690832138062,1.5135281682014465,5.525757312774658,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,7,Wizard_fundamentals,class,Wizard,30,0.9,0.65,5
105,1024,55,55,0,0.9636363636363636,0.03636363636363636,-0.1306728515625,212,0,0,212,0.014930912293493748,9.972812175750732,1.4458421766757965,4.986878514289856,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,7,Wizard_fundamentals,class,Wizard,30,0.9666666666666667,0.65,10
110,1024,68,68,0,0.9852941176470589,0.014705882352941176,-0.0985380859375,203,0,0,203,-0.15634699165821075,11.44823670387268,1.4629567861557007,5.553141713142395,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,7,Wizard_fundamentals,class,Wizard,30,1.0,0.65,15
115,1024,35,35,0,0.9428571428571428,0.05714285714285714,0.0006386718750000049,219,0,0,219,0.08245249278843403,10.749282121658325,1.383739858865738,5.4432560205459595,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,8,Wizard_area_spells,class,Wizard,30,0.9333333333333333,0.65,5
120,1024,38,38,0,0.8947368421052632,0.10526315789473684,0.1036484375,210,0,0,210,0.11657306551933289,9.541518926620483,1.5657067596912384,4.871675491333008,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,8,Wizard_area_spells,class,Wizard,30,0.8666666666666667,0.65,10
125,1024,35,35,0,0.9714285714285714,0.02857142857142857,-0.008249999999999993,197,0,0,197,0.048318096436560154,11.196922302246094,1.794888585805893,5.628830194473267,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,8,Wizard_area_spells,class,Wizard,30,0.9666666666666667,0.65,15
130,1024,14,14,0,1.0,0.0,-0.089794921875,195,0,0,195,-0.3414018452167511,4.467042326927185,1.6180225312709808,1.875939041376114,F:\PyCharmWorkspace\D&D Battle AI\checkpoints\gnn_class_curriculum_v2.pt,9,Wizard_damage_types,class,Wizard,30,1.0,0.65,5
